Date,Unemployment_Rate,State,Labor_Force_Participation_Rate,State_Minimum_Wage
2024-05-01,4.5,New Jersey,64.5,15.13
2024-06-01,4.6,New Jersey,64.5,15.13
2024-07-01,4.6,New Jersey,64.4,15.13
2024-08-01,4.6,New Jersey,64.4,15.13
2024-09-01,4.6,New Jersey,64.3,15.13
2024-10-01,4.6,New Jersey,64.2,15.13
2024-11-01,4.6,New Jersey,64.1,15.13
2024-12-01,4.6,New Jersey,64.1,15.13
2025-01-01,4.6,New Jersey,64.0,15.49
2025-02-01,4.6,New Jersey,63.9,15.49
2025-03-01,4.7,New Jersey,63.9,15.49
2025-04-01,4.8,New Jersey,63.9,15.49
2025-05-01,4.8,New Jersey,63.8,15.49
2025-06-01,4.9,New Jersey,63.7,15.49
2025-07-01,4.9,New Jersey,63.6,15.49
2025-08-01,5.0,New Jersey,63.5,15.49
1976-01-01,8.6,New Mexico,60.6,2.0
1976-02-01,8.6,New Mexico,60.4,2.0
1976-03-01,8.6,New Mexico,60.2,2.0
1976-04-01,8.6,New Mexico,60.1,2.0
1976-05-01,8.6,New Mexico,60.2,2.0
1976-06-01,8.6,New Mexico,60.3,2.0
1976-07-01,8.7,New Mexico,60.3,2.0
1976-08-01,8.8,New Mexico,60.4,2.0
1976-09-01,8.8,New Mexico,60.5,2.0
1976-10-01,8.9,New Mexico,60.5,2.0
1976-11-01,9.0,New Mexico,60.6,2.0
1976-12-01,9.0,New Mexico,60.7,2.0
1977-01-01,9.0,New Mexico,60.8,2.0
1977-02-01,8.8,New Mexico,60.9,2.0
1977-03-01,8.6,New Mexico,61.0,2.0
1977-04-01,8.3,New Mexico,61.1,2.0
1977-05-01,8.0,New Mexico,61.1,2.0
1977-06-01,7.8,New Mexico,61.0,2.0
1977-07-01,7.5,New Mexico,61.0,2.0
1977-08-01,7.3,New Mexico,61.0,2.0
1977-09-01,7.1,New Mexico,61.0,2.0
1977-10-01,6.9,New Mexico,61.0,2.0
1977-11-01,6.6,New Mexico,61.0,2.0
1977-12-01,6.4,New Mexico,61.1,2.0
1978-01-01,6.2,New Mexico,61.0,2.0
1978-02-01,6.1,New Mexico,61.1,2.0
1978-03-01,6.1,New Mexico,61.2,2.0
1978-04-01,6.0,New Mexico,61.3,2.0
1978-05-01,6.1,New Mexico,61.4,2.0
1978-06-01,6.1,New Mexico,61.5,2.0
1978-07-01,6.1,New Mexico,61.7,2.0
1978-08-01,6.2,New Mexico,61.7,2.0
1978-09-01,6.2,New Mexico,61.7,2.0
1978-10-01,6.2,New Mexico,61.7,2.0
1978-11-01,6.3,New Mexico,61.7,2.0
1978-12-01,6.4,New Mexico,61.7,2.0
1979-01-01,6.4,New Mexico,61.7,2.3
1979-02-01,6.5,New Mexico,61.7,2.3
1979-03-01,6.5,New Mexico,61.7,2.3
1979-04-01,6.5,New Mexico,61.6,2.3
1979-05-01,6.5,New Mexico,61.6,2.3
1979-06-01,6.6,New Mexico,61.6,2.3
1979-07-01,6.7,New Mexico,61.7,2.3
1979-08-01,6.7,New Mexico,61.9,2.3
1979-09-01,6.8,New Mexico,61.9,2.3
1979-10-01,6.8,New Mexico,61.9,2.3
1979-11-01,6.8,New Mexico,61.9,2.3
1979-12-01,6.7,New Mexico,61.8,2.3
1980-01-01,6.8,New Mexico,61.7,2.65
1980-02-01,6.9,New Mexico,61.6,2.65
1980-03-01,7.1,New Mexico,61.5,2.65
1980-04-01,7.3,New Mexico,61.3,2.65
1980-05-01,7.5,New Mexico,61.2,2.65
1980-06-01,7.7,New Mexico,61.1,2.65
1980-07-01,7.8,New Mexico,61.1,2.65
1980-08-01,7.9,New Mexico,61.1,2.65
1980-09-01,7.9,New Mexico,61.2,2.65
1980-10-01,7.9,New Mexico,61.3,2.65
1980-11-01,8.0,New Mexico,61.4,2.65
1980-12-01,7.9,New Mexico,61.5,2.65
1981-01-01,7.8,New Mexico,61.6,2.9
1981-02-01,7.7,New Mexico,61.6,2.9
1981-03-01,7.5,New Mexico,61.6,2.9
1981-04-01,7.3,New Mexico,61.6,2.9
1981-05-01,7.1,New Mexico,61.5,2.9
1981-06-01,6.9,New Mexico,61.3,2.9
1981-07-01,6.9,New Mexico,61.1,2.9
1981-08-01,6.9,New Mexico,61.0,2.9
1981-09-01,6.9,New Mexico,61.0,2.9
1981-10-01,7.1,New Mexico,61.0,2.9
1981-11-01,7.2,New Mexico,61.1,2.9
1981-12-01,7.4,New Mexico,61.1,2.9
1982-01-01,7.7,New Mexico,61.2,2.9
1982-02-01,8.0,New Mexico,61.3,2.9
1982-03-01,8.3,New Mexico,61.4,2.9
1982-04-01,8.5,New Mexico,61.5,2.9
1982-05-01,8.8,New Mexico,61.6,2.9
1982-06-01,9.0,New Mexico,61.7,2.9
1982-07-01,9.2,New Mexico,61.8,2.9
1982-08-01,9.4,New Mexico,61.8,2.9
1982-09-01,9.6,New Mexico,61.8,2.9
1982-10-01,9.8,New Mexico,61.8,2.9
1982-11-01,10.0,New Mexico,61.8,2.9
1982-12-01,10.2,New Mexico,61.7,2.9
1983-01-01,10.4,New Mexico,61.6,2.9
1983-02-01,10.5,New Mexico,61.6,2.9
1983-03-01,10.5,New Mexico,61.6,2.9
1983-04-01,10.4,New Mexico,61.6,2.9
1983-05-01,10.3,New Mexico,61.7,2.9
1983-06-01,10.1,New Mexico,61.8,2.9
1983-07-01,9.8,New Mexico,61.9,2.9
1983-08-01,9.6,New Mexico,61.9,2.9
1983-09-01,9.3,New Mexico,61.8,2.9
1983-10-01,9.0,New Mexico,61.7,2.9
1983-11-01,8.7,New Mexico,61.7,2.9
1983-12-01,8.4,New Mexico,61.6,2.9
1984-01-01,8.1,New Mexico,61.6,2.9
1984-02-01,7.8,New Mexico,61.6,2.9
1984-03-01,7.6,New Mexico,61.7,2.9
1984-04-01,7.5,New Mexico,61.8,2.9
1984-05-01,7.4,New Mexico,61.9,2.9
1984-06-01,7.5,New Mexico,62.0,2.9
1984-07-01,7.5,New Mexico,62.1,2.9
1984-08-01,7.6,New Mexico,62.2,2.9
1984-09-01,7.7,New Mexico,62.3,2.9
1984-10-01,7.8,New Mexico,62.4,2.9
1984-11-01,7.9,New Mexico,62.5,2.9
1984-12-01,8.0,New Mexico,62.7,2.9
1985-01-01,8.2,New Mexico,62.9,2.9
1985-02-01,8.3,New Mexico,63.0,2.9
1985-03-01,8.5,New Mexico,63.2,2.9
1985-04-01,8.6,New Mexico,63.2,2.9
1985-05-01,8.7,New Mexico,63.2,2.9
1985-06-01,8.8,New Mexico,63.2,2.9
1985-07-01,8.8,New Mexico,63.3,2.9
1985-08-01,8.8,New Mexico,63.3,2.9
1985-09-01,8.7,New Mexico,63.3,2.9
1985-10-01,8.7,New Mexico,63.5,2.9
1985-11-01,8.7,New Mexico,63.5,2.9
1985-12-01,8.8,New Mexico,63.5,2.9
1986-01-01,8.8,New Mexico,63.4,2.9
1986-02-01,8.9,New Mexico,63.4,2.9
1986-03-01,9.0,New Mexico,63.3,2.9
1986-04-01,9.1,New Mexico,63.2,2.9
1986-05-01,9.2,New Mexico,63.1,2.9
1986-06-01,9.2,New Mexico,63.2,2.9
1986-07-01,9.3,New Mexico,63.2,2.9
1986-08-01,9.3,New Mexico,63.2,2.9
1986-09-01,9.4,New Mexico,63.2,2.9
1986-10-01,9.4,New Mexico,63.3,2.9
1986-11-01,9.5,New Mexico,63.3,2.9
1986-12-01,9.5,New Mexico,63.2,2.9
1987-01-01,9.5,New Mexico,63.1,2.9
1987-02-01,9.4,New Mexico,63.0,2.9
1987-03-01,9.3,New Mexico,63.0,2.9
1987-04-01,9.2,New Mexico,62.9,2.9
1987-05-01,9.0,New Mexico,62.8,2.9
1987-06-01,8.9,New Mexico,62.8,2.9
1987-07-01,8.9,New Mexico,62.8,2.9
1987-08-01,8.8,New Mexico,62.7,2.9
1987-09-01,8.8,New Mexico,62.7,2.9
1987-10-01,8.7,New Mexico,62.8,2.9
1987-11-01,8.6,New Mexico,62.8,2.9
1987-12-01,8.5,New Mexico,62.9,2.9
1988-01-01,8.4,New Mexico,62.9,3.35
1988-02-01,8.3,New Mexico,62.9,3.35
1988-03-01,8.2,New Mexico,62.9,3.35
1988-04-01,8.0,New Mexico,63.0,3.35
1988-05-01,7.9,New Mexico,62.9,3.35
1988-06-01,7.8,New Mexico,62.9,3.35
1988-07-01,7.6,New Mexico,62.9,3.35
1988-08-01,7.4,New Mexico,62.8,3.35
1988-09-01,7.2,New Mexico,62.8,3.35
1988-10-01,7.0,New Mexico,62.8,3.35
1988-11-01,6.9,New Mexico,62.8,3.35
1988-12-01,6.7,New Mexico,62.8,3.35
1989-01-01,6.6,New Mexico,62.7,3.35
1989-02-01,6.5,New Mexico,62.8,3.35
1989-03-01,6.5,New Mexico,62.8,3.35
1989-04-01,6.5,New Mexico,62.9,3.35
1989-05-01,6.6,New Mexico,62.9,3.35
1989-06-01,6.7,New Mexico,63.0,3.35
1989-07-01,6.8,New Mexico,63.1,3.35
1989-08-01,6.9,New Mexico,63.3,3.35
1989-09-01,7.0,New Mexico,63.4,3.35
1989-10-01,7.0,New Mexico,63.5,3.35
1989-11-01,6.9,New Mexico,63.5,3.35
1989-12-01,6.8,New Mexico,63.6,3.35
1990-01-01,6.7,New Mexico,63.6,3.35
1990-02-01,6.6,New Mexico,63.7,3.35
1990-03-01,6.5,New Mexico,63.7,3.35
1990-04-01,6.4,New Mexico,63.8,3.35
1990-05-01,6.4,New Mexico,63.8,3.35
1990-06-01,6.4,New Mexico,63.9,3.35
1990-07-01,6.5,New Mexico,63.9,3.35
1990-08-01,6.6,New Mexico,63.8,3.35
1990-09-01,6.7,New Mexico,63.8,3.35
1990-10-01,6.9,New Mexico,63.7,3.35
1990-11-01,7.1,New Mexico,63.7,3.35
1990-12-01,7.2,New Mexico,63.7,3.35
1991-01-01,7.4,New Mexico,63.6,3.35
1991-02-01,7.5,New Mexico,63.7,3.35
1991-03-01,7.5,New Mexico,63.6,3.35
1991-04-01,7.5,New Mexico,63.7,3.35
1991-05-01,7.4,New Mexico,63.6,3.35
1991-06-01,7.3,New Mexico,63.5,3.35
1991-07-01,7.2,New Mexico,63.5,3.35
1991-08-01,7.1,New Mexico,63.4,3.35
1991-09-01,7.0,New Mexico,63.3,3.35
1991-10-01,7.0,New Mexico,63.2,3.35
1991-11-01,7.1,New Mexico,63.2,3.35
1991-12-01,7.2,New Mexico,63.2,3.35
1992-01-01,7.3,New Mexico,63.2,3.35
1992-02-01,7.4,New Mexico,63.3,3.35
1992-03-01,7.4,New Mexico,63.3,3.35
1992-04-01,7.4,New Mexico,63.4,3.35
1992-05-01,7.4,New Mexico,63.4,3.35
1992-06-01,7.4,New Mexico,63.3,3.35
1992-07-01,7.3,New Mexico,63.3,3.35
1992-08-01,7.3,New Mexico,63.3,3.35
1992-09-01,7.3,New Mexico,63.2,3.35
1992-10-01,7.2,New Mexico,63.2,3.35
1992-11-01,7.2,New Mexico,63.1,3.35
1992-12-01,7.3,New Mexico,63.1,3.35
1993-01-01,7.3,New Mexico,63.2,3.35
1993-02-01,7.4,New Mexico,63.2,3.35
1993-03-01,7.5,New Mexico,63.3,3.35
1993-04-01,7.5,New Mexico,63.4,3.35
1993-05-01,7.5,New Mexico,63.5,3.35
1993-06-01,7.5,New Mexico,63.6,3.35
1993-07-01,7.5,New Mexico,63.7,3.35
1993-08-01,7.4,New Mexico,63.7,3.35
1993-09-01,7.3,New Mexico,63.7,3.35
1993-10-01,7.1,New Mexico,63.7,3.35
1993-11-01,7.0,New Mexico,63.7,3.35
1993-12-01,6.9,New Mexico,63.7,3.35
1994-01-01,6.7,New Mexico,63.7,4.25
1994-02-01,6.6,New Mexico,63.7,4.25
1994-03-01,6.5,New Mexico,63.7,4.25
1994-04-01,6.4,New Mexico,63.6,4.25
1994-05-01,6.4,New Mexico,63.6,4.25
1994-06-01,6.5,New Mexico,63.7,4.25
1994-07-01,6.5,New Mexico,63.8,4.25
1994-08-01,6.5,New Mexico,63.8,4.25
1994-09-01,6.6,New Mexico,63.9,4.25
1994-10-01,6.5,New Mexico,64.0,4.25
1994-11-01,6.5,New Mexico,64.1,4.25
1994-12-01,6.4,New Mexico,64.2,4.25
1995-01-01,6.3,New Mexico,64.2,4.25
1995-02-01,6.3,New Mexico,64.1,4.25
1995-03-01,6.3,New Mexico,64.0,4.25
1995-04-01,6.3,New Mexico,63.9,4.25
1995-05-01,6.3,New Mexico,63.8,4.25
1995-06-01,6.4,New Mexico,63.8,4.25
1995-07-01,6.6,New Mexico,63.8,4.25
1995-08-01,6.7,New Mexico,63.8,4.25
1995-09-01,6.9,New Mexico,63.8,4.25
1995-10-01,7.0,New Mexico,63.8,4.25
1995-11-01,7.2,New Mexico,63.8,4.25
1995-12-01,7.3,New Mexico,63.8,4.25
1996-01-01,7.4,New Mexico,63.8,4.25
1996-02-01,7.6,New Mexico,63.8,4.25
1996-03-01,7.6,New Mexico,63.8,4.25
1996-04-01,7.7,New Mexico,63.8,4.25
1996-05-01,7.7,New Mexico,63.8,4.25
1996-06-01,7.7,New Mexico,63.7,4.25
1996-07-01,7.6,New Mexico,63.7,4.25
1996-08-01,7.6,New Mexico,63.7,4.25
1996-09-01,7.5,New Mexico,63.7,4.25
1996-10-01,7.4,New Mexico,63.6,4.25
1996-11-01,7.3,New Mexico,63.5,4.25
1996-12-01,7.2,New Mexico,63.4,4.25
1997-01-01,7.1,New Mexico,63.4,4.25
1997-02-01,7.0,New Mexico,63.3,4.25
1997-03-01,6.9,New Mexico,63.3,4.25
1997-04-01,6.7,New Mexico,63.3,4.25
1997-05-01,6.6,New Mexico,63.3,4.25
1997-06-01,6.4,New Mexico,63.4,4.25
1997-07-01,6.2,New Mexico,63.4,4.25
1997-08-01,6.1,New Mexico,63.3,4.25
1997-09-01,6.0,New Mexico,63.3,4.25
1997-10-01,6.0,New Mexico,63.3,4.25
1997-11-01,6.0,New Mexico,63.4,4.25
1997-12-01,6.1,New Mexico,63.4,4.25
1998-01-01,6.2,New Mexico,63.5,4.25
1998-02-01,6.3,New Mexico,63.6,4.25
1998-03-01,6.3,New Mexico,63.7,4.25
1998-04-01,6.3,New Mexico,63.7,4.25
1998-05-01,6.3,New Mexico,63.7,4.25
1998-06-01,6.3,New Mexico,63.6,4.25
1998-07-01,6.3,New Mexico,63.6,4.25
1998-08-01,6.3,New Mexico,63.6,4.25
1998-09-01,6.3,New Mexico,63.5,4.25
1998-10-01,6.2,New Mexico,63.4,4.25
1998-11-01,6.1,New Mexico,63.4,4.25
1998-12-01,5.9,New Mexico,63.3,4.25
1999-01-01,5.8,New Mexico,63.2,4.25
1999-02-01,5.8,New Mexico,63.2,4.25
1999-03-01,5.7,New Mexico,63.1,4.25
1999-04-01,5.7,New Mexico,63.0,4.25
1999-05-01,5.6,New Mexico,63.0,4.25
1999-06-01,5.6,New Mexico,63.1,4.25
1999-07-01,5.6,New Mexico,63.1,4.25
1999-08-01,5.6,New Mexico,63.1,4.25
1999-09-01,5.6,New Mexico,63.1,4.25
1999-10-01,5.5,New Mexico,63.0,4.25
1999-11-01,5.3,New Mexico,63.0,4.25
1999-12-01,5.2,New Mexico,63.0,4.25
2000-01-01,5.1,New Mexico,63.0,4.25
2000-02-01,5.1,New Mexico,63.0,4.25
2000-03-01,5.0,New Mexico,63.1,4.25
2000-04-01,5.0,New Mexico,63.1,4.25
2000-05-01,5.0,New Mexico,63.2,4.25
2000-06-01,5.0,New Mexico,63.2,4.25
2000-07-01,5.0,New Mexico,63.2,4.25
2000-08-01,5.0,New Mexico,63.2,4.25
2000-09-01,5.0,New Mexico,63.2,4.25
2000-10-01,5.0,New Mexico,63.3,4.25
2000-11-01,5.0,New Mexico,63.5,4.25
2000-12-01,5.0,New Mexico,63.6,4.25
2001-01-01,5.0,New Mexico,63.6,4.25
2001-02-01,5.0,New Mexico,63.7,4.25
2001-03-01,4.9,New Mexico,63.6,4.25
2001-04-01,4.9,New Mexico,63.5,4.25
2001-05-01,4.8,New Mexico,63.4,4.25
2001-06-01,4.8,New Mexico,63.3,4.25
2001-07-01,4.8,New Mexico,63.3,4.25
2001-08-01,4.8,New Mexico,63.2,4.25
2001-09-01,5.0,New Mexico,63.1,4.25
2001-10-01,5.1,New Mexico,63.0,4.25
2001-11-01,5.2,New Mexico,63.0,4.25
2001-12-01,5.3,New Mexico,63.0,4.25
2002-01-01,5.3,New Mexico,63.0,4.25
2002-02-01,5.4,New Mexico,63.1,4.25
2002-03-01,5.4,New Mexico,63.1,4.25
2002-04-01,5.5,New Mexico,63.2,4.25
2002-05-01,5.5,New Mexico,63.2,4.25
2002-06-01,5.5,New Mexico,63.3,4.25
2002-07-01,5.5,New Mexico,63.3,4.25
2002-08-01,5.5,New Mexico,63.3,4.25
2002-09-01,5.5,New Mexico,63.3,4.25
2002-10-01,5.5,New Mexico,63.2,4.25
2002-11-01,5.5,New Mexico,63.2,4.25
2002-12-01,5.6,New Mexico,63.1,4.25
2003-01-01,5.6,New Mexico,63.1,4.25
2003-02-01,5.7,New Mexico,63.2,4.25
2003-03-01,5.8,New Mexico,63.2,4.25
2003-04-01,5.8,New Mexico,63.2,4.25
2003-05-01,5.9,New Mexico,63.2,4.25
2003-06-01,6.0,New Mexico,63.2,4.25
2003-07-01,6.1,New Mexico,63.2,4.25
2003-08-01,6.1,New Mexico,63.2,4.25
2003-09-01,6.1,New Mexico,63.2,4.25
2003-10-01,6.1,New Mexico,63.2,4.25
2003-11-01,6.0,New Mexico,63.2,4.25
2003-12-01,5.9,New Mexico,63.1,4.25
2004-01-01,5.8,New Mexico,63.1,5.15
2004-02-01,5.8,New Mexico,63.0,5.15
2004-03-01,5.7,New Mexico,63.0,5.15
2004-04-01,5.7,New Mexico,62.9,5.15
2004-05-01,5.6,New Mexico,62.9,5.15
2004-06-01,5.5,New Mexico,62.9,5.15
2004-07-01,5.5,New Mexico,62.8,5.15
2004-08-01,5.4,New Mexico,62.8,5.15
2004-09-01,5.4,New Mexico,62.8,5.15
2004-10-01,5.5,New Mexico,62.8,5.15
2004-11-01,5.5,New Mexico,62.9,5.15
2004-12-01,5.6,New Mexico,62.9,5.15
2005-01-01,5.6,New Mexico,63.0,5.15
2005-02-01,5.6,New Mexico,63.0,5.15
2005-03-01,5.6,New Mexico,63.0,5.15
2005-04-01,5.5,New Mexico,63.0,5.15
2005-05-01,5.4,New Mexico,63.1,5.15
2005-06-01,5.3,New Mexico,63.0,5.15
2005-07-01,5.2,New Mexico,63.0,5.15
2005-08-01,5.1,New Mexico,63.0,5.15
2005-09-01,5.0,New Mexico,62.9,5.15
2005-10-01,4.9,New Mexico,62.7,5.15
2005-11-01,4.8,New Mexico,62.6,5.15
2005-12-01,4.7,New Mexico,62.5,5.15
2006-01-01,4.6,New Mexico,62.5,5.15
2006-02-01,4.5,New Mexico,62.4,5.15
2006-03-01,4.4,New Mexico,62.5,5.15
2006-04-01,4.4,New Mexico,62.5,5.15
2006-05-01,4.3,New Mexico,62.5,5.15
2006-06-01,4.3,New Mexico,62.5,5.15
2006-07-01,4.3,New Mexico,62.5,5.15
2006-08-01,4.2,New Mexico,62.4,5.15
2006-09-01,4.1,New Mexico,62.4,5.15
2006-10-01,4.0,New Mexico,62.4,5.15
2006-11-01,3.9,New Mexico,62.3,5.15
2006-12-01,3.8,New Mexico,62.3,5.15
2007-01-01,3.7,New Mexico,62.2,5.15
2007-02-01,3.6,New Mexico,62.1,5.15
2007-03-01,3.6,New Mexico,62.1,5.15
2007-04-01,3.6,New Mexico,62.0,5.15
2007-05-01,3.5,New Mexico,61.9,5.15
2007-06-01,3.5,New Mexico,61.8,5.15
2007-07-01,3.5,New Mexico,61.7,5.15
2007-08-01,3.5,New Mexico,61.7,5.15
2007-09-01,3.5,New Mexico,61.7,5.15
2007-10-01,3.5,New Mexico,61.7,5.15
2007-11-01,3.5,New Mexico,61.7,5.15
2007-12-01,3.5,New Mexico,61.8,5.15
2008-01-01,3.6,New Mexico,61.8,6.5
2008-02-01,3.7,New Mexico,61.9,6.5
2008-03-01,3.8,New Mexico,61.9,6.5
2008-04-01,3.9,New Mexico,62.0,6.5
2008-05-01,4.1,New Mexico,62.0,6.5
2008-06-01,4.2,New Mexico,62.1,6.5
2008-07-01,4.4,New Mexico,62.1,6.5
2008-08-01,4.5,New Mexico,62.1,6.5
2008-09-01,4.7,New Mexico,62.1,6.5
2008-10-01,4.9,New Mexico,62.0,6.5
2008-11-01,5.2,New Mexico,61.9,6.5
2008-12-01,5.5,New Mexico,61.7,6.5
2009-01-01,5.8,New Mexico,61.4,7.5
2009-02-01,6.1,New Mexico,61.2,7.5
2009-03-01,6.4,New Mexico,60.9,7.5
2009-04-01,6.6,New Mexico,60.8,7.5
2009-05-01,6.9,New Mexico,60.7,7.5
2009-06-01,7.1,New Mexico,60.6,7.5
2009-07-01,7.3,New Mexico,60.6,7.5
2009-08-01,7.4,New Mexico,60.4,7.5
2009-09-01,7.6,New Mexico,60.3,7.5
2009-10-01,7.7,New Mexico,60.1,7.5
2009-11-01,7.8,New Mexico,60.0,7.5
2009-12-01,7.9,New Mexico,60.0,7.5
2010-01-01,8.0,New Mexico,60.0,7.5
2010-02-01,8.0,New Mexico,60.0,7.5
2010-03-01,8.0,New Mexico,60.0,7.5
2010-04-01,8.0,New Mexico,60.0,7.5
2010-05-01,7.9,New Mexico,59.9,7.5
2010-06-01,7.8,New Mexico,59.8,7.5
2010-07-01,7.8,New Mexico,59.6,7.5
2010-08-01,7.8,New Mexico,59.5,7.5
2010-09-01,7.7,New Mexico,59.3,7.5
2010-10-01,7.7,New Mexico,59.2,7.5
2010-11-01,7.6,New Mexico,59.1,7.5
2010-12-01,7.5,New Mexico,59.0,7.5
2011-01-01,7.4,New Mexico,58.9,7.5
2011-02-01,7.3,New Mexico,58.9,7.5
2011-03-01,7.2,New Mexico,58.8,7.5
2011-04-01,7.2,New Mexico,58.8,7.5
2011-05-01,7.2,New Mexico,58.7,7.5
2011-06-01,7.2,New Mexico,58.7,7.5
2011-07-01,7.2,New Mexico,58.6,7.5
2011-08-01,7.2,New Mexico,58.6,7.5
2011-09-01,7.2,New Mexico,58.6,7.5
2011-10-01,7.2,New Mexico,58.6,7.5
2011-11-01,7.2,New Mexico,58.5,7.5
2011-12-01,7.1,New Mexico,58.5,7.5
2012-01-01,7.0,New Mexico,58.5,7.5
2012-02-01,7.0,New Mexico,58.5,7.5
2012-03-01,7.0,New Mexico,58.5,7.5
2012-04-01,7.0,New Mexico,58.4,7.5
2012-05-01,7.0,New Mexico,58.4,7.5
2012-06-01,7.0,New Mexico,58.4,7.5
2012-07-01,6.9,New Mexico,58.4,7.5
2012-08-01,6.9,New Mexico,58.4,7.5
2012-09-01,6.9,New Mexico,58.5,7.5
2012-10-01,6.9,New Mexico,58.6,7.5
2012-11-01,6.9,New Mexico,58.6,7.5
2012-12-01,6.9,New Mexico,58.5,7.5
2013-01-01,7.0,New Mexico,58.5,7.5
2013-02-01,7.0,New Mexico,58.4,7.5
2013-03-01,7.0,New Mexico,58.3,7.5
2013-04-01,7.0,New Mexico,58.3,7.5
2013-05-01,6.9,New Mexico,58.2,7.5
2013-06-01,6.9,New Mexico,58.2,7.5
2013-07-01,6.9,New Mexico,58.1,7.5
2013-08-01,6.9,New Mexico,58.1,7.5
2013-09-01,6.8,New Mexico,58.0,7.5
2013-10-01,6.8,New Mexico,58.0,7.5
2013-11-01,6.8,New Mexico,58.0,7.5
2013-12-01,6.8,New Mexico,58.0,7.5
2014-01-01,6.8,New Mexico,58.0,7.5
2014-02-01,6.7,New Mexico,58.0,7.5
2014-03-01,6.7,New Mexico,58.0,7.5
2014-04-01,6.6,New Mexico,58.0,7.5
2014-05-01,6.6,New Mexico,58.0,7.5
2014-06-01,6.6,New Mexico,58.0,7.5
2014-07-01,6.5,New Mexico,58.1,7.5
2014-08-01,6.5,New Mexico,58.1,7.5
2014-09-01,6.5,New Mexico,58.2,7.5
2014-10-01,6.4,New Mexico,58.3,7.5
2014-11-01,6.4,New Mexico,58.3,7.5
2014-12-01,6.4,New Mexico,58.3,7.5
2015-01-01,6.5,New Mexico,58.3,7.5
2015-02-01,6.5,New Mexico,58.3,7.5
2015-03-01,6.6,New Mexico,58.4,7.5
2015-04-01,6.7,New Mexico,58.4,7.5
2015-05-01,6.7,New Mexico,58.4,7.5
2015-06-01,6.7,New Mexico,58.3,7.5
2015-07-01,6.7,New Mexico,58.3,7.5
2015-08-01,6.7,New Mexico,58.2,7.5
2015-09-01,6.6,New Mexico,58.1,7.5
2015-10-01,6.6,New Mexico,58.0,7.5
2015-11-01,6.5,New Mexico,58.0,7.5
2015-12-01,6.5,New Mexico,58.0,7.5
2016-01-01,6.5,New Mexico,58.1,7.5
2016-02-01,6.5,New Mexico,58.1,7.5
2016-03-01,6.5,New Mexico,58.2,7.5
2016-04-01,6.6,New Mexico,58.2,7.5
2016-05-01,6.7,New Mexico,58.3,7.5
2016-06-01,6.8,New Mexico,58.3,7.5
2016-07-01,6.9,New Mexico,58.3,7.5
2016-08-01,7.0,New Mexico,58.3,7.5
2016-09-01,7.0,New Mexico,58.3,7.5
2016-10-01,7.0,New Mexico,58.2,7.5
2016-11-01,7.0,New Mexico,58.2,7.5
2016-12-01,6.9,New Mexico,58.2,7.5
2017-01-01,6.8,New Mexico,58.2,7.5
2017-02-01,6.7,New Mexico,58.2,7.5
2017-03-01,6.6,New Mexico,58.2,7.5
2017-04-01,6.5,New Mexico,58.2,7.5
2017-05-01,6.3,New Mexico,58.2,7.5
2017-06-01,6.2,New Mexico,58.1,7.5
2017-07-01,6.0,New Mexico,58.0,7.5
2017-08-01,5.9,New Mexico,57.9,7.5
2017-09-01,5.8,New Mexico,57.8,7.5
2017-10-01,5.7,New Mexico,57.7,7.5
2017-11-01,5.5,New Mexico,57.6,7.5
2017-12-01,5.4,New Mexico,57.6,7.5
2018-01-01,5.2,New Mexico,57.5,7.5
2018-02-01,5.1,New Mexico,57.6,7.5
2018-03-01,4.9,New Mexico,57.6,7.5
2018-04-01,4.8,New Mexico,57.7,7.5
2018-05-01,4.8,New Mexico,57.7,7.5
2018-06-01,4.7,New Mexico,57.7,7.5
2018-07-01,4.7,New Mexico,57.7,7.5
2018-08-01,4.8,New Mexico,57.7,7.5
2018-09-01,4.9,New Mexico,57.7,7.5
2018-10-01,5.0,New Mexico,57.7,7.5
2018-11-01,5.1,New Mexico,57.8,7.5
2018-12-01,5.2,New Mexico,57.9,7.5
2019-01-01,5.1,New Mexico,57.9,7.5
2019-02-01,5.1,New Mexico,57.9,7.5
2019-03-01,5.0,New Mexico,57.9,7.5
2019-04-01,5.0,New Mexico,58.0,7.5
2019-05-01,5.0,New Mexico,58.0,7.5
2019-06-01,4.9,New Mexico,58.0,7.5
2019-07-01,4.9,New Mexico,58.0,7.5
2019-08-01,4.9,New Mexico,58.0,7.5
2019-09-01,4.9,New Mexico,58.0,7.5
2019-10-01,4.9,New Mexico,58.0,7.5
2019-11-01,4.9,New Mexico,58.0,7.5
2019-12-01,5.0,New Mexico,58.0,7.5
2020-01-01,5.1,New Mexico,57.9,9.0
2020-02-01,5.3,New Mexico,57.8,9.0
2020-03-01,5.9,New Mexico,57.1,9.0
2020-04-01,9.0,New Mexico,54.1,9.0
2020-05-01,9.3,New Mexico,54.8,9.0
2020-06-01,9.0,New Mexico,54.9,9.0
2020-07-01,9.0,New Mexico,55.3,9.0
2020-08-01,8.6,New Mexico,55.4,9.0
2020-09-01,8.7,New Mexico,55.8,9.0
2020-10-01,8.4,New Mexico,55.9,9.0
2020-11-01,8.4,New Mexico,56.0,9.0
2020-12-01,8.4,New Mexico,56.1,9.0
2021-01-01,8.2,New Mexico,56.0,10.5
2021-02-01,8.2,New Mexico,56.0,10.5
